用户Id,昵称,评论内容,点赞数
2672818,用户45293_76,我初二上了不到半个月就辍学了！去工厂上班，我总是把简历填成高中学历，就是怕别人不要我，曾经为爱执着，为工作起早贪黑。打工十年！闯了十年.拼了十年.十年梦想破灭.十年一事无成.十年挥洒青春。,170901
38120662,生命在祢,总觉得《喜剧之王》是周爷真实经历的翻版，他在演自己。[哀伤][哀伤],105287
50811669,于无声处听风就是雨,周星驰曾说：“我以为我拍了很多悲剧，可是拍出来你们都觉得那是喜剧。”是啊，如果有一天小丑哭了，你会不会觉得他在搞笑。,96493
120044,东京未明,昨天在香港，去了石澳，就听的这首曲子，就在尹天仇喊着“我养你啊”的那条路上……,69067
50334062,無花妙僧,我也是一样，我从流水线工人干到营销总经理，花了13年，98年到东莞厚街，坐48小时的绿皮火车，被查暂住证的追到烂尾楼的顶层，往冰冷的池子里面跳，最后穿着内裤烤衣服，现在回想起来都流泪，被人打过，被人敲诈过，被人抢过，10年，最美好的青春10年！加油，相信你会成功，我告诉你我初中都没有毕业,59976
19238933,Mmtoysboy,觉得星爷所拍的电影充满正能量！情形阿婆被人勒索100元，星爷看到默默自己扔出100元在地上。。。一句：我养你啊！这是责任的表现。正是作为当代年轻人所需要学习的。可惜现在不能再看到像星爷再拍电影，现在的电影很难找到那种感觉了，只有再次去重温当年的星爷。。,49213
46810908,xiaobaoma,多少男人在最穷困的时候，压抑了自己的感情。,49177
64441556,FainT-_,一个男人最可悲的莫过于在最无能为力的年纪遇到了最想照顾一生的人,40752
41569448,Tanhaibo_June1991,在这个物欲横流的社会里，我们是多么渴望看到纯洁的爱情。《喜剧之王》里没有王子，也没有公主，它讲的只是处于社会底层的人们的故事，于是《喜剧之王》中的爱情更加真挚，更加感动人心。,38894
34810080,geekgao,柳飘飘在车里哭的那段配乐，看几遍流几次眼泪。,29697
31854110,痛仰乐队,如果恨可以改变这个世界，至少它很窄,24811
284421371,范文敬饲养员,当我心无牵挂的时候，贫穷对我来说只是晚上吃馒头和吃牛排的区别，无损我的快乐，可当我爱上一个人的时候，我才深深感受到了什么是贫穷带来的自卑。,18869
129955882,钢蛋宝宝,我觉得有必要给后来的小哥哥小姐姐普及一下，Here We Are Again作者为Cagnet组合，96年日剧《悠长假期》的插曲，纯音乐据说版权是日本富士电视台，别沉，让更多人看到吧 ！[憨笑][憨笑][憨笑],12190
1440004,沙鲸,整个潜伏之赤途游戏，对这个音乐记忆最深刻。它出现在喜剧之王的哪个部分啊。,12032
用户Id,昵称,评论内容,点赞数
262234877,掌心上的傻媳妇,初恋很单纯，跟她好了快一年了，终于带她回家见家长。席间老妈不停的给她夹菜，“闺女，来，吃完了待会让他送你回去”。女友可能是误会我妈的意思了，立马放下碗筷，一脸委屈“叔叔阿姨你们别赶我走，我是真心喜欢他的，我以后少吃点”。听到女友说这句话，心瞬间化了。,674762
261244987,90后的小样,李玉刚合唱团已上线，女高音李玉刚、女低音李玉刚、男高音李玉刚、男低音李玉刚[大笑][大笑][大笑],352025
390015516,觉得自,大学毕业后我去了北京，而她留在了老家，刚开始每天一个电话，后来越来越少，甚至断了联系，直到两年后的一次我坐火车回家，出了站之后看见她一个人站在外面，头发被风吹得很凌乱，看到我之后也没有动，我放下行李过去把她抱住，她立马大哭对我说我还以为你不要我了。那一刻起我就知道这辈子就是你。,240338
368479170,Libertyman_,「刚」好「玉」见「李」,235120
44421277,拾半片阑珊,96年离开家奔波闯荡，06年星光大道让全国观众认识了你，16年出道整十周年，你用十年时间向世界证明你不是当初那个初登央视舞台稚嫩的李玉刚，你是历经十年岁月积淀的玉先生，你是传播传统文化的先行者，你是摆脱桎梏追求艺术突破的追梦人  世界之大欣喜相逢 我们17日十周年演唱会见[亲亲],132245
378775745,Candious,曾经和一个女人躺在同一个床上一整夜，不是恋人。什么都没干，天南海北纯侃纯聊天。那天晚上我清唱了这首歌给她听。早上起来后，感觉双方之间亲密指数成几何增长到以前的n次方。现在，她是我的女人。再过几个月就结婚了。初恋，感谢刚好遇见你。😊,126929
66976362,Aimfay,副歌有毒…画室今天放了三遍[大哭]第一次听这唱的什么鬼…第二次感觉还不错…第三次就开始中毒了拿起手机听歌识曲，单曲循环走起[大哭],116908
